text,valence,arousal,emotion
心里有点小小的嫉妒，不过更多的是为好朋友感到骄傲,0.3,0.1,复杂但偏正
爽完就后悔,0.3,0.4,复杂
落选归落选，至少看到了自己的差距,-0.1,-0.1,复杂但偏负
被掏空但还有希望,0.25,0.35,复杂
重新见面的感觉很好，但我们都回不去了,0.1,0.2,复杂但偏负
虽然错过了花期，但绿意盎然的景色也不错,0.2,-0.1,复杂但偏正
微妙的情绪,0.15,0.3,复杂
说不清,0.1,0.2,复杂
虽然被批评了，但感觉方向更明确了,0.1,0.2,复杂但偏正
悲喜交加,0.25,0.5,复杂
我挺喜欢这个城市的，但消费水平太高了,0.1,0.2,复杂但偏正
身体累了但心还热着,0.3,0.4,复杂
虽然没能留下那个最好的作品，但创作的过程让我找到了久违的快乐,0.3,-0.1,复杂但偏正
有点难办，不过也不是完全没有办法,0.1,0.1,复杂但偏正
丢脸归丢脸，至少把真相弄清楚了,-0.1,0.1,复杂但偏负
